Ααρων	Ααρων＆Ἀαρών
ἐλέφαντας	ἐλέφαντας＆ἐλέφας
ἐλεφαντίνων	ἐλεφαντίνος＆ἐλεφάντινος
ἐλεῶν	ἐλεέω＆ἔλεος
ἐλθάτω	ἐλθάτω＆ἔρχομαι
Ελισαιε	Ἐλεισαῖε＆Ελισαιε
ἕλκει	ἕλκος＆ἕλκω
Ἐλυμαΐδα	Ἐλυμαΐδα＆Ἐλυμαίς
ἐλυτρώσω	λυτρόω＆λύω
ἐμάκρυναν	ἐμάκρυναν＆μακρύνω
ἐμαλακίσθη	μαλακίζομαι＆μαλακίζω
ἐμαυτοῦ	ἐμαυτός＆ἐμαυτοῦ
ἐμβατεύειν	βατεύω＆ἐμβατεύω
ἐμὲ	ἐγώ＆ἔγω
ἐμεγαλύνθη	ἐμεγαλύνθω＆μαγαλύνω＆μεγαλυλύνω＆μεγαλύνω
ἐμεγαλύνθης	μαγαλύνω＆μεγαλύνω
ἐμελέτησαν	μελετάω＆μελετέω
ἐμοιχῶντο	μοιχάομαι＆μοιχάω
ἐμπαίγματα	ἐμπαίγμα＆ἔμπαιγμα
ἐμπειρῶ	πειράω＆πείρω
ἐμπλόκια	ἐμπλοκίον＆ἐμπλόκιον
ἐμπρῆσαι	πίμπρημι＆πίπρημι
ἐμπρήσουσιν	πίμπρημι＆πίπρημι
ἐμφανὲς	ἐμφανής＆ἐμφάνης
ἐναντίον	ἐναντίον＆ἐναντίος
ἐναντιουμένους	ἀντιόω＆ἐναντιόομαι
ἐνδελέχιζε	δελεχίζω＆ἐνδελεχίζω
ἐνδόσθια	ἐνδόσθια＆ἐνδόσθιον
ἔνεδρα	ἔνεδρα＆ἔνεδρον
Ενεμεσσαρου	Ενεμεσσαρος＆Ἐνεμέσσαρος
ἐνεὸν	ἐνεός＆νέος
ἐνεπάγησαν	παγάομαι＆πήγνυμι
ἐνέπρησαν	πίμπρημι＆πίπρημι
ἐνεπύρισαν	ἐμπυρίζω＆πυρίζω
ἐνεπύρισεν	ἐμπυρίζω＆πυρίζω
ἐνετειλάμην	τέλλομαι＆τέλλω
ἐνετείλατο	τέλλομαι＆τέλλω
ἐνετείλατό	τέλλομαι＆τέλλω
ἐνετείλω	τέλλομαι＆τέλλω
ἐνήδρευσαν	ἐνεδρεύω＆ἐνήδρευσαν
ἐνήλατο	ἀλάομαι＆ἅλλομαι
ἔννοιαν	ἐννοία＆ἔννοια
ἐννοίας	ἐννοία＆ἔννοιας
ἐνοπλισάμενοι	ὀπλίζω＆ὁπλίζω
ἐντείλασθαι	τέλλομαι＆τέλλω
ἐντείλωμαι	τέλλομαι＆τέλλω
ἐντελεῖται	τελέω＆τέλλω
ἐντελῇ	τελέω＆τελλόμαι
ἐντέλλομαι	τέλλομαι＆τέλλω
ἐντελοῦμαι	τελέω＆τέλλομαι＆τέλλω
ἐντρυφήσει	ἐντρυφάω＆τρυφάω
ἐνυπνιαζόμενος	ἐνυπνιάζομαι＆ὑπνιάζω
ἐνυπνιασάμην	ἐνυπνιάζω＆ὑπνιάζω
ἐνώπιον	ἐενώπιον＆ἐνώπιον＆ἐνώπιος＆ἐνώριον
ἐνώπιόν	ἐνώπιον＆ἐνώπιόν＆ἐνώπιος
