Ααρων	Ααρων＆Ἀαρών
θυρεοὶ	θυρεός＆θυρέος
θυρωρῶν	θυρωρός＆θύρωρος
Ιαϊρου	Ιαϊρος＆Ιαϊρου
Ιακωβ	Ιακωβ＆Ἰακώβ
ἶβιν	ἴβης＆ἶβις
ἰδοὺ	ἰδού＆ὁράω
Ιδουμαῖοι	Ιδουμαία＆Ιδουμαίος＆Ιδουμαῖος
Ιδουμαίων	Ιδουμαία＆Ιδουμαίος＆Ιδουμαῖος
Ιεδιου	Ιεδιας＆Ιεδιου
Ιεζονιας	Ιεζονιας＆Ιεζονίας
Ιεζραηλίτου	Ιεζραηλίτης＆Ιεζραηλῖτις
ἱερά	ἱερόν＆ἱερός
ἱερὸν	ἱερόν＆ἱερός
Ιεροσόλυμα	Ιεροσόλυμα＆Ἰεροσόλυμα＆Ἰερουσαλήμ＆Ιερουσολημ
Ιεροσολύμοις	Ιεροσόλυμα＆Ιεροσολύμος＆Ἰερουσαλήμ＆Ἰερουσολημ
Ιεροσολύμων	Ιεροσόλυμα＆Ἰεροσόλυμα＆Ιεροσολύμος＆Ἰερουσαλήμ
ἱεροῦ	ἱερόν＆ἱερός
Ιεσσιου	Ιεσσιας＆Ιεσσιου
Ιεχονιας	Ιεχονιας＆Ἰεχονίας
Ιεχονιου	Ιεχονιας＆Ιεχονίας
Ιησου	Ιησου＆Ιησους
ἱκετῶν	ἱκετής＆ἱκέτης
ἵλεώς	ἕλεος＆ἵλεως＆ἵλεώς
ἵνα	ἵνα＆ὕνα
Ιοππης	Ιοππη＆Ἴοππης
Ιόππης	Ιόππη＆Ιόππης
Ιορδάνην	Ἰορδάνην＆Ἰορδάνης
Ιορδάνης	Ιορδάνης＆Ἰορδάνης
Ιορδάνου	Ιορδάνης＆Ἰορδάνης
Ιου	Ιηου＆Ιου
Ιουδα	Ιουδα＆Ἰουδά＆Ἰούδας
Ιουδαῖοι	Ἰουδαῖοι＆Ἰουδαῖος
ἴσθι	εἰμί＆οἶδα
Ισμαηλῖται	Ισμαηλίτης＆Ισμαηλῖτης
ἱστῶν	ἵστημι＆ἱστός
ἰσχύων	ἰσχύς＆ἰσχύω
ἰχθύας	ἰχθύς＆ἰχθῦς
ἴχνη	ἴσνος＆ἴχνος
Ιωαναν	Ιωαναν＆Ἰωανάν
Ιωαννην	Ιωαννην＆Ιωαννης
Ιωνα	Ιωνα＆Ιωνας
Ιωναθαν	Ιωναθα＆Ιωναθαν
Ιωναθου	Ιωναθαν＆Ιωναθας
Ιωναν	Ιωναν＆Ιωνας
Ιωνας	Ιωνας＆Ἰωνᾶς
Ιωσια	Ιωσια＆Ιωσιας＆Ιωσίας
Ιωσιαν	Ιωσιας＆Ιωσίας
Ιωσιας	Ιωσιας＆Ιωσίας
Ιωσιου	Ιωσείας＆Ἰωσείας＆Ιωσιας＆Ιωσίας
καθὰ	καθά＆καθός＆ὅς
καθαιρεῖν	αἱρέω＆αἴρω
καθήσεσθε	ἧμαι＆ἵημι
καθήσεται	ἧμαι＆ἵημι
καθήσῃ	ἧμαι＆ἵημι
καθήσομαι	ἧμαι＆ἵημι＆ἷμαι
καθήσονταί	ἧμαι＆ἵημι
καθίεται	ἵζω＆ἵημι
καθίσατε	ἧμαι＆ἵζω
κάθισον	ἵζω＆καθίζω
καθὼς	καθώς＆ὡς
κἀκεῖ	καί｜ἐκεῖ＆κἀκεῖ
κακώσει	κακόω＆κάκωσις
καλῶν	καλέω＆καλός
Κάρμηλον	Κάρμηλον＆Κάρμηλος
Καρμήλου	Καρμήλος＆Κάρμηλος
Καρμήλῳ	Καρμήλος＆Κάρμηλος
κάρπωσιν	κάρπωμα＆κάρπωσις
καταβάσεως	καταβάσις＆κατάβασις
κατακαύσει	καίω＆καύω
κατάλειμμα	καταλείμμα＆κατάλειμμα
καταλύσει	κατάλυσις＆λύω
κατανύξεως	κατανύξις＆κατάνυξις
καταπατήσει	ἀπατάω＆ἀπατέω＆πατέω
καταπαύσει	κατάπαυσις＆καταπαύω＆παύω
καταράσῃ	ἀράομαι＆ῥάομαι
καταρᾶται	αράομαι＆ἀράομαι＆καταράω
καταρώμενος	ἀράομαι＆καταράομαι
καταρωμένου	καταράομαι＆ῥάομαι＆ῥάω
κατασκηνῶσαι	σκηνάω＆σκηνόω
κατασκηνώσουσιν	σκανόω＆σκηνόω
κατασκοπεῦσαι	σκοπεύω＆σκοπέω
κατέκαυσεν	καίω＆καύω
κατεναντίον	κατεναντιόν＆κατεναντίον＆κατεναντίος
κατεσθίει	ἐσθίω＆ἔσθιω
κατεσθίοντες	εσθίω＆ἐσθίω
κατευθύνει	εὐθύνω＆εὑθύνω
κατήλεσεν	αλέω＆ἀλέω
κατήργησαν	ἀργέω＆ἐργέω
κατισχύσει	ισχύω＆ἰσχύω
κατισχύσουσιν	ἰσχύω＆ἱσχύω
κατοικηθήσεται	οικέω＆οἰκέω
κατοικήσει	κατοίκησις＆οικέω＆οἰκέω＆οἱκέω
κατοικήσετε	κατοικέω＆οἰκέω
κατοικήσῃ	οικέω＆οἰκέω
κατοικήσουσιν	οικέω＆οἰκέω＆οἱκέω
κατοικήσω	κατοικέω＆οἰκέω
κάτοικοι	κατοίκος＆κάτοικος
κατοικῶν	κατοίκος＆οἰκέω＆οἱκέω
κατόπισθέν	κατόπισθε＆κατόπισθεν
κατορθῶσαι	ορθόω＆ὀρθόω
κατῴκηκα	οικέω＆οἰκέω
κατώτατα	κατώτατος＆κατώτερος
καύσων	καίω＆καύσων
κινήσει	κινέω＆κίνησις
Κιτιαίων	Κιτιαίοι＆Κιτιαῖοι
Κίτιοι	Κίτιοι＆Κίτιος
κλίμακας	κλίμαξ＆κλῖμαξ
κλῖναι	κλίνη＆κλίνω
κλίνῃ	κλίνη＆κλίνω
κοπρία	κοπρία＆κόπριον
κόπων	κοπή＆κόπος
κραταιοῦ	κραταιός＆κραταιόω
κρατῶν	κρατέω＆κράτος
κρίνων	κρίνον＆κρίνω
κρύσταλλος	κρυστάλλος＆κρύσταλλος
κρυστάλλου	κρυστάλλος＆κρύσταλλος
κυκλῶν	κύκλος＆κυκλόω
κυκλώσει	κυκλόω＆κύκλωσις
κυμβάλοις	κυμβάλον＆κύμβαλον
Λαισα	Λαις＆Λαισα
λατόμων	λατομέω＆λατόμος
λειτουργῶν	λειτουργέω＆λειτουργός
Λευι	Λευι＆Λευί
Λευῖται	Λευείτης＆Λευίτης
Λευίταις	Λευείτης＆Λευίτης
Λευίτας	Λευείτης＆Λευίτης
Λευίτης	Λευείτης＆Λευίτης
Λευίτου	Λευείτης＆Λευίτης
Λευιτῶν	Λευείτης＆Λευίτης
Λιβάνου	Λιβάνος＆Λίβανος
Λιβάνῳ	Λιβάνος＆Λίβανος
Λίβυες	Λίβευς＆Λίβυες
Μαασαιου	Μαασαιας＆Μαασαις
Μαγδώλου	Μαγδώλος＆Μάγδωλος＆Μαγδώλου
μακράν	μακράν＆μακρός
μακρὰν	μακράν＆μακρός
μακρότερον	μακρός＆μακρότερον
Μανασση	Μανασσή＆Μανασσής＆Μανασσῆς
Μανασσης	Μανασσή＆Μανασσής＆Μανασσῆς
Μαρισαν	Μαρισα＆Μαρισαν
Μαρισης	Μαρισα＆Μαρισης
μαρτύρια	μαρτυρία＆μαρτύριον
μαρυκᾶται	μαρυκάομαι＆μηρυκάομαι
Ματταθια	Ματταθια＆Ματταθιας
μέλει	μέλος＆μέλω
Μελχισεδεκ	Μελχισεδεκ＆Μελχισεκεκ
μετεμελήθη	μελέομαι＆μελέω
μέχρις	μέχρι＆μέχρις
Μηδίᾳ	Μηδεία＆Μηδία
Μηδίαν	Μηδεία＆Μηδία＆Μηδίαν
Μηδίας	Μηδεία＆Μηδία＆Μηδίας
Μήδων	Μήδης＆Μηδία＆Μήδοι＆Μῆδοι＆Μῆδος＆Μήδων
Μιναίων	Μιναῖοι＆Μιναῖος
Μιχαια	Μιχαια＆Μιχαιας
μοι	＆ἐγώ
μόλιβος	μολιβός＆μόλιβος
μολίβου	μολιβός＆μόλιβος
μόνον	μόνον＆μόνος
Μουχαιος	Μουχαιος＆Μουχαῖος
Μωαβῖται	Μωαβίτης＆Μωαβῖτης
Μωαβίτιδας	Μωαβίτις＆Μωαβῖτις
Μωαβίτιδος	Μωαβίτις＆Μωαβῖτις
Μωαβιτῶν	Μωαβείτης＆Μωαβίτης＆Μωαβίτις＆Μωάβιτος
Μωσα	Μωσα＆Μωσά
Μωυσῆ	Μωυσῆ＆Μωυσῆς
Ναβουζαρδαν	Ναβουζαρδαν＆Ναβουζαρδας
Ναβουχοδονοσορ	Ναβουχοδονοσορ＆Ναβουχοδονοσόρ
Ναθανιου	Ναθανιας＆Ναθανιου
Νεεμιου	Νεεμείας＆Νεεμιας
Νηριου	Νηριας＆Νηριος＆Νηριου
νομῶν	νομή＆νομός
νουμηνίαις	νεομηνία＆νουμηνία
νουμηνίας	νεομηνία＆νουμηνία
νουμηνιῶν	νεομηνία＆νουμηνία
νῶτοι	νῶτον＆νῶτος
νῶτος	νῶτον＆νῶτος
ξένια	ξενία＆ξένιον
ὀγδοήκοντα	ὀγδοηκοντα＆ὀγδοήκοντα
ὀδυνηθήσεται	ὀδυναω＆ὀδυνάω
Οζια	Οζια＆Οζιας
Οζιου	Ὀζείας＆Οζιας＆Οζίας＆Οζιου
οἰκήσεις	οἰκέω＆οἴκησις
οἶκοι	οἴκος＆οἶκος
οἰκτίρμων	οἰκτιρμός＆οἰκτίρμων
οἰκῶν	οἰκέω＆οἶκος
οιφι	οιφι＆οἰφί
ὀλεθρίας	ὀλεθρία＆ὀλέθριος
ὁμοῦ	ὁμός＆ὁμοῦ
Ονιαν	Ονειας＆Ονιας
Ονιου	Ὀνείας＆Ονιας
ὄπισθεν	ὄπισθε＆ὄπισθεν＆ὄπισθέν
ὄπισθέν	ὄπισθε＆ὄπισθεν
ὅρια	ὅριον＆ὅριος
ὀρνέων	ὄρνεον＆ὄρνις
ὁρῶν	ὁράω＆ὅρος
οὗ	ὅς＆οὗ
Ουρια	Ουρια＆Ουριας＆Ὀυρίας
Ουριαν	Ουριας＆Οὐρίας
Ουριου	Ουρια＆Ουριας
Οχοζια	Οχοζια＆Οχοζιας
Οχοζιαν	Οχοζιαν＆Οχοζιας
ὄψει	ὁράω＆ὄψις
παιδία	παιδιά＆παιδίον
παιδισκῶν	παιδίσκη＆παιδίσκος
παλαιῶν	παλαιός＆παλαιόω
πανουργίαν	πανουργιά＆πανουργία
πάντα	πάς＆πᾶς
παραβολαὶ	παραβολη＆παραβολή
παραβολήν	παραβολη＆παραβολή
παρακαταθήκας	παρακαταθήκη＆τίθημι
παρακλήσεως	παρακλήσις＆παράκλησις
παραλίαν	παραλίαν＆παράλιος
παραλίας	παραλία＆παράλιος
παρειστήκει	ἵστημι＆τήκω
παροικήσει	οἰκέω＆παροίκησις
πάροικος	παροίκος＆πάροικος
παροικῶν	οἰκέω＆πάροικος
πατριᾶς	πατριά＆πάτριος
πατριῶν	πατριά＆πάτριος
πεινάσουσιν	πεινάζω＆πεινάω
πεινῶν	πεινάω＆πείνη
πεῖραν	πεῖρα＆πειράω
πενθῶν	πενθέω＆πένθος
πεντεκαιδεκάτῳ	πεντεκαιδέκατο＆πεντεκαιδέκατος
πεντηκόνταρχον	πεντηκοντάρχος＆πεντηκόνταρχος
πεντηκοντάρχους	πεντηκοντάρχος＆πεντηκόνταρχος
πέπρακεν	πιπράσκω＆πράσσω
περιέλῃ	αἱρέω＆ἔρχομαι
περιζώσονται	ζώννυμι＆ζωννύω
περικεφαλαῖαι	περικεφαλαία＆περικεφαλαῖα
περιοχῇ	ὀχέω＆περιοχή
περισσὸν	περισσόν＆περισσός
περιχαρεῖς	περιχαρής＆χαίρω
Πέρσας	Πέρσης＆Πέρσις
Περσῶν	Περσής＆Πέρσης
πετεινά	πετεινόν＆πετεινός
πετεινὰ	πετεινόν＆πετεινός
πετεινοῖς	πετεινόν＆πετεινός
πετεινὸν	πετεινόν＆πετεινός
πηχῶν	πηχύς＆πῆχυς
πίοσιν	πίνω＆πίων
πιστὸς	πιστός＆πιστὸς
πλανήσει	πλανάω＆πλάνησις
πλανήσεως	πλανήσις＆πλάνησις
πλατεῖα	πλατεῖα＆πλατύς
πλατεῖαι	πλατεῖα＆πλατύς
πλατείας	πλατεῖα＆πλατύς
πλευρὰ	πλευρά＆πλευρόν
πλημμελήσῃ	πλημμελέω＆πλημμηλέω
πληρώσει	πληρόω＆πλήρωσις
ποιήσει	ποιέω＆ποίησις
ποιῶν	ποιέω＆ποῖος
πολεμῶν	πολεμέω＆πόλεμος
πονηρευόμενος	πονηρεύομαι＆πονηρεύω
πονηρευομένων	πονηρεύομαι＆πονηρεύω
πορφυροῦν	πορφύρεος＆πορφυροῦς
πότον	ποτόν＆πότος
πότου	ποτόν＆πότος
που	που＆ποῦ
πράξεις	πρᾶξις＆πράσσω
πραῢς	πραΰς＆πρᾳΰς
πρέσβεις	πρέσβις＆πρέσβυς
πρὸ	πρό＆πρός
προνοίας	προνοία＆πρόνοια
προσθῇ	θέω＆τίθημι
προσθῇς	θέω＆τίθημι
προσθῶσιν	θέω＆τίθημι
προσκυνήσει	κυνέω＆προσκύνησις
προτέρα	πρότερος＆πρῶτος
πρότερον	πρότερον＆πρότερος
πρωί	πρωί＆πρωΐ
πρωὶ	πρωί＆πρωΐ
πρωίας	πρωί｜α＆πρώι｜ος＆πρωία＆πρώιος
πρωίθεν	πρωίθεν＆πρωΐθεν
πρῶτον	πρῶτον＆πρῶτος
πρωτοτόκια	πρωτοτόκια＆πρωτοτόκιον
πτέρναις	πτέρνα＆πτέρνη
πτέρνης	πτέρνα＆πτέρνη
Πτολεμαίδα	Πτολεμαίς＆Πτολεμαῖς
Πτολεμαίῳ	Πτολεμαίος＆Πτολεμαῖος
πυκνότερον	πυκνός＆πυκνότερον
πυρὰς	πῦρ＆πυρά
πυρός	πύρ＆πῦρ＆πυρός
πυρὸς	πύρ＆πῦρ＆πυρός
πυρῶν	πῦρ＆πυρά＆πυρός
πως	πως＆πῶς
ῥαγήσεται	ῥήγνυμι＆ῥηγνύναι
Ραγουηλ	Ραγουηλ＆Ῥαγουήλ
Ραγουήλου	Ραγουήλ＆Ραγουῆλος
Ραμεσση	Ραμεσση＆Ραμεσσή
Ραφαηλ	Ραφαηλ＆Ῥαφαήλ
Ραψακην	Ραψακης＆Ῥαψάκης
ῥήγματα	ῥήγμα＆ῥῆγμα
ῥῆξον	ῥήγνυμι＆ῥηγνύναι
ῥήσεις	ῥέω＆ῥῆσις
ῥῖνας	ῥις＆ῥίς
ῥιφήσονται	ῥιπτω＆ῥίπτω
Ῥόδιοι	Ῥόδιοι＆Ῥόδιος
ῥύεται	ῥύομαι＆ῥύω
ῥυήσεται	ῥέω＆ῥυέω＆ῥυόμαι
Ῥωμαίους	Ῥωμαῖοι＆Ῥωμαῖος
Ῥωμαίων	Ῥωμαῖοι＆Ῥωμαῖος
σαββάτου	σαββάτον＆σάββατον
σαββάτων	σαββάτον＆σάββατον
Σαλουμ	Σαλουμ＆Σαλούμ
σάλπιγγι	σαλπιγξ＆σάλπιγξ
Σαμαια	Σαμαια＆Σαμαιας
Σαμαιαν	Σαμαιας＆Σαμαίας
Σαμάρεια	Σαμαρεία＆Σαμαρία
Σαμάρειαν	Σαμαρεία＆Σαμαρία
Σαμαρείας	Σαμαρεία＆Σαμαρία
Σαμουηλ	Σαμουηλ＆Σαμουήλ
Σαουλ	Σαουλ＆Σαούλ
Σαραια	Σαραια＆Σαραιας
Σαραιου	Σαραιά＆Σαραιας＆Σαραίας
Σαρουιας	Σαρουια＆Σαρουιας
Σαρρα	Σαρρα＆Σάρρα
Σαρραν	Σαρρα＆Σαρραν
Σαρρας	Σαρρα＆Σαρρας
σέβεσθε	σέβομαι＆σέβω
σέβομαι	σέβομαι＆σέβω
σεβόμενοι	σέβομαι＆σέβω
σεβομένοις	σέβομαι＆σέβω
Σεδεκια	Σεδεκια＆Σεδεκιας
Σεδεκιαν	Σεδεκιας＆Σεδεκίας
Σεδεκιου	Σεδεκιας＆Σεδεκιου
Σελεμιου	Σελεμιας＆Σελεμιος＆Σελεμιου
Σελεύκου	Σελεύκος＆Σέλευκος
σημεῖα	σημεῖα＆σημεῖον
σημείων	σημεῖον＆σήμειον
σὴς	σής＆σός
σιαγόνας	σιαγών＆σιαγῶν
σιδηρᾷ	σιδηρεία＆σιδήρεος
σιδηροῦς	σίδηρος＆σιδηροῦς
Σιδῶνα	Σιδών＆Σιδῶν
Σιδῶνος	Σιδών＆Σιδῶν
σικερα	σικερα＆σίκερα
Σικιμα	Σικιμ＆Σικιμα
Σικιμοις	Σικιμα＆Σίκιμα＆Σικιμος
Σικιμων	Σικιμα＆Σικιμος
Σιμων	Σιμων＆Σίμων
Σιων	Σιων＆Σιών
σκέπη	σκέπη＆σκέπης
σκέπῃ	σκέπη＆σκέπης
σκέπην	σκέπη＆σκέπης
σκεύη	σκευή＆σκεῦος
σκηνῆς	σκηνή＆σκηνῆς
σκληρότερον	σκληρός＆σκληρῶς
Σκυθῶν	Σκύθαι＆Σκύθης
Σοδομων	Σοδομα＆Σόδομα＆Σοδομων
σοῖς	σός＆σύ
Σομναν	Σομναν＆Σομνας
Σούσοις	Σουσά＆Σοῦσα
Σοφονιαν	Σοφονιας＆Σοφονίας
σπόριμον	σπόριμον＆σπόριμος
στάθμιον	σταθμίον＆στάθμιον
σταθμίων	σταθμίον＆στάθμιον
στενάξει	στενάζω＆στενάχω
στερεῶν	στερεός＆στερεόω
στίλβοντος	στίλβω＆στίλβων
στρατιᾷ	στρατιά＆στρατία
στρατιᾶς	στρατιά＆στρατία
στρογγύλον	στρογγύλον＆στρογγύλος
στρουθία	στρουθίον＆στρουθίος
στρωμνῆς	στρωμνη＆στρωμνή
στρώσουσιν	στρώννυμι＆στρωννύω
συγκαύσει	καίω＆καυσόω
συκοφαντῶν	συκοφαντέω＆συκοφάντης
συμβίωσιν	βιόω＆συμβίωσις
συμβολοκοπῶν	βολοκοπέω＆συμβολοκοπέω
συμμαχῆσαι	μαχέω＆συμμαχέω
συμμάχοις	συμμάχος＆σύμμαχος
συμμάχους	συμμάχος＆σύμμαχος
σύμμικτός	συμμικτός＆σύμμικτός
συμμίκτων	συμμικτός＆σύμμικτος
συμπλήρωσιν	πληρόω＆συμπλήρωσις
συναγωγῆς	συναγωγή＆σύναγωγή
συναντήσεται	αντάω＆ἀντάω
συναντῶν	ἀντάω＆εἰμί
συναπολέσῃς	ὄλλυμι＆ὀλλύω
συνάψεις	ἅπτω＆συνάψις＆σύναψις
συνέδρων	δράω＆σύνεδρος
συνέθλασεν	θλάσσω＆θλάω
συνέκλασεν	κλαίω＆κλάω
συνέσφιγξεν	σπίγγω＆σφίγγω
σύνετε	ἵημι＆συνετός
συνετίσαι	ἐτίζω＆συνετίζω
συνέτισόν	συνετίζω＆συνέτιζω
συνέχων	ἔχω＆συνεχής
συνῆτε	εἰμί＆ἴημι＆ἵημι
συνήχθη	ἄγω＆ἔχω
συνίων	ἔημι＆ἵημι
σύνολον	σύνολον＆σύνολος
συντάξεις	σύνταξις＆τάσσω
συντριβῇ	συντριβή＆τρίβω
συνῳκηκυῖα	οἰκέω＆οἱκέω
Συρίας	Συρεία＆Συρία
Σύρων	Σύρος＆Σύρων
συσκίου	συσκίος＆σύσκιος
σφραγῖδας	σφραγίς＆σφράγις
σχισμὰς	σχισμάς＆σχισμή＆σχίσμν
σωτήρια	σωτηρία＆σωτήριον
σωτήριον	σωτήριον＆σωτήριος
τάδε	ὁδε＆ὅδε
ταλαιπώρους	ταλαίπορος＆ταλαίπωρος
τάλαντα	τάλαντα＆τάλαντον
τάλαντον	ταλάντον＆τάλαντον
ταλάντων	ταλάντον＆τάλαντον
Τάνιν	Τάνιν＆Τάνις
τάξει	τάξις＆τάσσω
ταπείνου	ταπεινός＆ταπεινόω
ταπεινῶν	ταπεινός＆ταπεινόω
ταπεινώσει	ταπεινόω＆ταπείνωσις
ταῦτα	οὕτος＆οὗτος
Ταφνας	Ταφνας＆Ταφνάς
τάχει	τάχος＆ταχύς
ταχέως	ταχέως＆ταχύς
ταχὺ	ταχύ＆ταχύς
τείχη	τείχη＆τεῖχος
τειχήρεσιν	τειχήρεσις＆τειχήρης
τερέμινθον	τερέβινθος＆τερεμίνθος
τερέμινθος	τερέβινθος＆τερέμινθος
τέρψει	τέρπω＆τέρψις
τεσσαρεσκαιδεκάτῳ	τεσσαρεσκαιδεκάτ＆τεσσαρεσκαιδέκατ
τεταπεινωμένην	ταπεινάω＆ταπεινόω
τεταραγμένον	ταράσσω＆τεράσσω
τετράδι	τέσσαρες＆τετράς
τετράμηνον	τετράμηνον＆τετράμηνος
τετραπόδων	τετράποδος＆τετράπους
τηγάνου	τήγανον＆τηγάνος
τῆς	ἡ＆ὁ
τι	τις＆τίς
τί	τί＆τις＆τίς
τιμῶν	τιμάω＆τιμή
τίς	τις＆τίς
τὸ	ὁ＆τό
τοῖς	ὁ＆τοῖς
τοσοῦτον	τοσοῦτο＆τοσοῦτος
τοσούτῳ	τοσοῦτο＆τοσοῦτος
τοῦ	ὁ＆τοῦ
τοῦτο	οὕτος＆οὗτος＆τοῦτο
τρήσει	τετραίνω＆τιτράω
τρίβοι	τρίβος＆τρίβω
τρίβον	τρίβος＆τρίβων
τρίβων	τρίβος＆τρίβων
τρίμηνον	τριμήνος＆τρίμηνος＆τρίμηος
τρίς	τρεῖς＆τρίς
τροχιαὶ	τροχιά＆τροχιός
τροχιὰς	τροχιά＆τροχιός
τρυγῶν	τρυγάω＆τρυγών
Τυρίων	Τυριος＆Τύριος
τύχῃ	τυγχάνω＆τύχη
τῷ	ὁ＆ὅ＆τῷ
Τωβια	Τωβεία＆Τωβείας＆Τωβια
Τωβιαν	Τωβείας＆Τωβιαν＆Τωβιας
Τωβιας	Τωβείας＆Τωβιας
Τωβιν	Τωβιθ＆Τωβιν
Τωβιου	Τωβείας＆Τωβιας
ὑβριστοῦ	ὑβριστός＆ὕβριστος
ὑγιαίνουσα	ὑγιαίνω＆ὑιαίνω
ὑείων	ὑείος＆ὕειος
υἱέ	υιός＆υἱός
υἱοὶ	οἱός＆υἱός＆υἵος
ὑμεῖς	σύ＆ὑμεῖς
ὑπάνδρου	ὑπάνδρος＆ὕπανδρος
ὑπάρξει	ἄρχω＆ὕπαρξις
ὑπάρξεως	ὑπάρξις＆ὕπαρξις
ὕπαρξιν	ὕπαρξιν＆ὕπαρξις
ὑπάρχουσιν	ἄρχω＆ὑπάρχος
ὑπερηφανεύεσθαι	ἠφανεύομαι＆ὑπερηφανεύω
ὑπερηφάνῳ	ὑπερήφανος＆ὑπερήφονος
ὑπερῷα	ὑπερῶον＆ὑπερῷον
ὑπνοῖς	ὕπνος＆ὑπνόω
ὑπνῶν	ὕπνος＆ὑπνόω
ὑποκάτω	κάτω＆ὑποκάτω
ὑποκάτωθέν	ὑποκάτωθεν＆ὑποκάτωθέν
ὕσσωπον	ὕσσοπος＆ὕσσωπος
ὑσσώπου	ὕσσοπος＆ὕσσωπος
ὕστερον	ὕστερον＆ὕστερος
ὕψιστε	ὕψιστε＆ὕψιστος
ὑψοῖ	ὕψος＆ὑψόω
ὑψῶν	ὕψος＆ὑψόω
ὑψώσεις	ὑψόω＆ὕψωσις
Φερεζαίου	Φερεζαῖος＆Φερεζαίου
Φερεζαίων	Φερεζαίος＆Φερεζαῖος
Φιλίππου	Φιλίππος＆Φίλιππος
Φισων	Φεισών＆Φισων
Φοινίκης	Φοινίκη＆Φοινίκης
φυγὰς	φυγάς＆φυγή
χαλάζῃ	χάλαζα＆χαλάζη
χαλάζης	χαλάζα＆χάλαζα
Χαλδαίων	Χαλδαίος＆Χαλδαῖος
χαλκείοις	χαλκεῖον＆χαλκείος
χαλκοῦ	χαλκός＆χαλκοῦς
χαλκοῦς	χαλκός＆χαλκοῦς
χαλκῷ	χαλκός＆χαλκοῦς
Χανααν	Χανααν＆Χανάαν
χαρμοσύνης	χαρμοσύνη＆χαρμόσυνος
χείμαρροι	χειμάροος＆χειμάρρους
χειμάρρου	χειμάροος＆χείμαρρος＆χειμάρρους
χειμάρρουν	χειμάροος＆χειμάρρους
χειμάρρους	χειμάροος＆χειμάρρους
χειμάρρῳ	χειμάροος＆χειμάρρους
χείρω	χειρέω＆χείρων
Χελκια	Χελκια＆Χελκιας
Χελκιου	Χελκείας＆Χελκιας＆Χελκιος
χερουβιν	χερουβείμ＆χερουβιν
Χερουβιν	Χερουβ＆Χερουβιν
χερσωθήσεται	χερσεύω＆χερσόω
χηρεύσεως	χηρεύσις＆χήρευσις
χιλιάδας	χιλιάς＆χιλίας
χιλιάδες	χιλιάς＆χιλίας
χιλιάδων	χιλιάς＆χιλίας
χιλίαν	χίλιοι＆χίλιος
χιλιάσιν	χιλιάς＆χιλίας
χιόνα	χιόνα＆χιών
χλιδῶνα	χλιδῶν＆χλίδων
χλιδῶνας	χλιδών＆χλιδῶν＆χλίδων
χνοῦν	χνοῦν＆χνοῦς
χοιρογρύλλιον	χοιρογρύλλιον＆χοιρογρύλλιος
χορεύουσαι	χορεύουσαι＆χορεύω
χορτάσματα	χορτάσμα＆χόρτασμα
χόρτον	χόρτον＆χόρτος
χρέους	χρέος＆χρέους
χρεοφειλέτου	χρεοφειλέτης＆χρεοφειλέτου
χρίσεις	χρίνω＆χρίω
χρίσεως	χρίσις＆χρῖσις
χρῖσμα	χρίσμα＆χρῖσμα
χρυσᾶ	χρύσεος＆χρυσοῦς
χρυσοῦ	χρυσός＆χρυσοῦς
χρυσοῦν	χρύσεος＆χρυσοῦς
χρυσῷ	χρυσός＆χρυσοῦς
χρῶ	χράομαι＆χράω
χύτρᾳ	χύτρα＆χύτρᾳ
χῶσαι	χόω＆χῶσαι
ψάλατε	ψάλλω＆ψάλω
ψαλάτωσαν	ψάλλω＆ψάλω
ψαλμὸς	ψαλμός＆ψαλμὸς
ψαλτηρίῳ	ψαλτήριον＆ψαλτήρίον
ψαλῶ	ψάλλω＆ψαλῶ
ψεύδει	ψεύδομαι＆ψεῦδος＆ψεύδω
ψεύδεσιν	ψευδής＆ψεῦδος
ψευδῆ	ψευδής＆ψευδῆς
ψεύδη	ψευδής＆ψεῦδος
ψεῦδος	ψεύδος＆ψεῦδος
ψεύσεται	ψεύδομαι＆ψεύδω
ψεύσομαι	ψεύδομαι＆ψεύδω
ψεύσονταί	ψεύδομαι＆ψεύδω
ψόαν	ψόα＆ψόαν
ὦ	εἰμί＆ὦ
ὠδῖνας	ὠδίν＆ὠδίς
ὠδίνουσα	ὠδίνω＆ὠδίω
ὠλιγοψύχησαν	ὀλιγοψυχέω＆ὀλιγοψύχω
ὠλιγοψύχησεν	ὀλιγοψυχέω＆ὀλιγοψύχω
ὦμοι	ὤμοι＆ὦμος
ὡμοίωσα	ὁμοιόω＆ὁμοίοω
ὦπταί	ὁράω＆ὄψομαι
ὡραιώθης	ὡραίομαι＆ὡραιοῦμαι
ὤρυξαν	ὀρύσσω＆ὀρύττω
ὧς	ὡς＆ὥς
Ωσαιαν	Ωσαιαν＆Ὡσαίας
ὡσεὶ	ὡσεί＆ὡσεὶ
ὠσὶ	εἰμί＆οὖς
ὦσιν	εἰμί＆οὖς
ὦσίν	εἰμί＆οὖς
ᾠῶν	ὤον＆ᾠόν
