《1258》	『wrestling against』『struggling against, antagonistic, rival』『rivalling, a match for』『an antagonist, rival, adversary』『the rival party』『nearly balanced』『equally large』『equal on both sides, mutual』『corresponding to』『the equal balance, undecided state』『him who fights』『champion』
《1259》	『to hold side by side, to compare』『contrast』
《1260》	『to lead the army against, advance to meet the enemy』
《1262》	『to stand in array against』『to stand in hostile array』『hostile array』
《1266》	『to do in return』『to retaliate』『to exert oneself about』『seek after, lay claim to』『to lay claim』『to contend with』『for』
《1267》	『to urge war against』
《1268》	『to be a political opponent』『to oppose』『policy』
《1269》	『to act against, seek to counteract』『to act in opposition』
《1277》	『to set against, oppose』『to contrast, compare』『to match』『against』『in battle』『to be matched』『against』『to retort, rejoin』『to deposit in return』『to give in return』『as a recompense』『for』
《1278》	『to hold contrary tenets』
《1279》	『to sound in answer, reply』『to utter in reply』『to reply to, answer』
《1284》	『full of caves』
《1286》	『not to be surpassed』『outdone』
《1291》	『unsuspected』
《1292》	『not to be withstood, irresistible』
《1293》	『to raise up, exalt』
《1294》	『to effect, achieve, accomplish, complete』『he did』『good』『to bring to pass』『to accomplish for one's own advantage』『to make an end of, destroy』『to finish a journey』『can do』『to make its way over』『to make one's way』『to reach』『succeeded in』『will come to be』『to come to an end』『to grow up』『to get, procure』『I gain』『to do quickly, make haste』『make haste』『make haste』『make haste and』
《1300》	『without name, nameless』『nameless, inglorious』
《1305》	『the worth』『value』『money-value, price, amount』『at the real amount』『worth, reputation, rank』『due』『deserts』『one's』『desert, duly』
《1307》	『trustworthy』
《1310》	『that of which one is thought worthy, an honour』『honour』『honour, reputation』『rank, position』『worth, quality』『that which is thought fit, a decision, purpose』『a self evident theorem, an axiom』
《1312》	『an axle』『the wooden tablets of』『laws, made to turn upon an axis』
《1314》	『sung of, famous in song』『notorious, infamous』
《1316》	『without hesitation, untiring』
《1322》	『to forbid』『to dissuade』『to bid farewell to』『to give up, renounce』『to give up doing』『to give up, fail, sink』『worn out and useless』
《1325》	『a leading away』『payment』『a process by which a person』『might be arrested』『the Magistrates』『the written complaint laid before the Court』
《1327》	『want of education』『ignorance, boorishness, coarseness』『from want of control over』
《1331》	『a demanding back』『formal demand』
《1335》	『alienation』
《1338》	『to soften』『to make tender』
《1341》	『to keep off, ward off』『for』『from』『to ward off』『to repulse』『to keep off from oneself, to drive back, repel』『to defend』『protect oneself』
《1342》	『to disown, reject』
《1343》	『to have the effrontery to do』『say』『to deny shamelessly』
《1344》	『to make rise up and depart, send away』『to arise and go away, depart, leave one's country, emigrate』
《1347》	『a meeting』
《1351》	『not to be moved by prayer, inexorable』『not to be averted by prayers, inevitable, unmerciful』
《1355》	『to be disagreeable to』『to shew displeasure』
《1368》	『to go of one's own accord, desert』
《1372》	『to form from a model, to express, copy』『to become like, resemble』『in』『likeness』『to express by a comparison』『to be copied』『expressed by likeness』『to liken, compare with』『as one may guess, to conjecture』
《1380》	『to keep away from, debar from』『to keep from』『prevent, hinder』『to keep back, keep off, ward off』『forfend!』『debars』『barred』『shut off from』『to part, divide, separate』『to bound』『keeping』『to shut up, confine』
《1385》	『to refute thoroughly』
《1387》	『to emancipate』
《1390》	『the opposite』
《1394》	『to rest, fix, settle』『to rest upon』『to support oneself upon, rest upon』
《1400》	『to be hated, incur hatred, be roused to hatred』『to be』『become hateful to』『to be hateful』『to be hated for』『that causes hatred』
《1401》	『hatred』『enmity, odium』『enmities』
《1402》	『hateful, hostile』『to be at enmity with』
《1406》	『the wind that comes from the rising sun, the east wind』
《1407》	『unharmed, unhurt』『misery far away』
《1408》	『ungentle, harsh, rough, hard』
《1415》	『unapproachable, terrible』
《1417》	『insatiate desire, greediness』
《1418》	『not to be filled, insatiate』『insatiate of』『insatiate』
《1422》	『to make single, to unfold, stretch out』『lay stretched out』
《1424》	『without breath, lifeless』
《1428》	『to dip quite』『entirely』
《1429》	『to force away』『to be forced away』『back』『to use force』
《1433》	『to give』『a taste of』『to take a taste of』
《1435》	『born』『descended from』『descendants』『offspring』
《1440》	『to slaughter by cutting off the head』『cutting the throat』
《1444》	『a breastband, girdle』『a bundle, bunch』
《1450》	『to chase away』『take』『off』
《1453》	『a giving back, restitution, return』『payment』
《1455》	『to lament bitterly』
《1456》	『to marvel much at a』『to wonder much』
《1457》	『to cut off』
《1463》	『a settlement far from home, a colony settlement』『a settlement』
《1464》	『to send away from home』『to be settled in a far land, to emigrate』『to colonise』『send a colony to』
《1465》	『the settlement of a colony』
《1467》	『to cleanse』『clean quite』『to refine from』『to be pure in』『to clear away』『to rid oneself of』
《1469》	『to sit apart』
《1471》	『to burn off』『frigus adurit』『to shrivel up』『were frozen off』
《1482》	『to weep aloud』『to bewail much, mourn deeply for』『to cease to wail』
《1485》	『to turn off』『aside』『to turn back』『to decline, get towards evening』『to be upset』『to turn aside』『off the road』『as one turns』『to fall away, decline, degenerate』『to have a leaning, be favourably disposed』
《1486》	『to wash away』『to purge』『to avert by purifications』
《1488》	『to carry away, escort』『to carry away captive』『to take oneself off, get away』『to return』
《1490》	『to restore order by clearing away, to clear away』
《1491》	『broken sheer off, precipitous』『full of difficulties』
《1501》	『to hinder』『prevent from』『to prevent from』『forbid to』『to keep off, hinder』『to stop the way』『there』『hindrance』
《1503》	『to kick off』『away, shake off』『to spurn』
《1506》	『to have enjoyment of』『to have the benefit of』『to enjoy』『to enjoy』『from』『to have the benefit of』『to have a benefit, come finely off』
《1510》	『to leave off, desist from』『to leave off』『to cease, desist』
《1517》	『a plea alleged in defence』
《1521》	『release, deliverance from』『acquittal from』
《1522》	『to release on payment of ransom』
《1525》	『to rave, rage to the uttermost』
《1528》	『to fight from』『to fight from』『to fight desperately』『to fight off』『decline』『to drive』『off in battle』
《1530》	『to part』『distinguish from』『to detach』『to impart』
《1534》	『to have lost all sense』『to be desperate』『desperate』『an abandoned fellow』
《1535》	『loss of all sense』『desperation』『madness』
《1536》	『without toil』『trouble, untroubled, quiet』『not toiling, lazy』『without trouble』
《1538》	『to drive from house and home, banish』
《1540》	『to strip off』
《1542》	『to make trial, essay』『proof of』『to make an attempt on』
《1544》	『to leap off from』『to start off from, turn away from』『to leap off, start off』
《1550》	『to breathe forth』『to give up』『to get rid of』『to blow from』『to smell of a thing』
《1554》	『a sending away: getting rid』
《1556》	『to spit out』『to vomit forth』『to spit』『to abominate, loathe, spurn』
《1562》	『forbidden』『though it was forbidden』『prohibited exports, contraband articles』『not to be spoken, that should not be spoken』『secret』『dicenda tacenda』『a state-secret』『ineffable』『unfit to be spoken, abominable』
《1565》	『broken off, abrupt, sheer, precipitous』『a piece broken off』『a branch』『off-stream』『an efflux, distillation』
《1567》	『to put out, extinguish, quench』『to be extinguished, go out, cease to exist』
《1568》	『to shake off』『to shake off from oneself』『to throw』
《1569》	『to cease speaking, maintain silence』『to keep secret』
《1571》	『to scatter abroad, disperse』『to straggle from』
《1580》	『to strip off the scalp in Scythian fashion』『to be shaved bare』
《1581》	『to scare away』『to be off in a hurry』『be off!』
《1582》	『that which is torn off, a piece, rag, shred』
《1584》	『to let fall drop by drop, distil』『to fall in drops, distil』
《1588》	『a standing away from』『a defection, revolt』『departure from』『distance, interval』
《1589》	『to stand aloof from, depart from, be far from』『to fall off from』『to stand aloof』『afar off』
《1590》	『a runaway slave: a deserter, rebel』
《1593》	『to straiten, block up』
《1594》	『to love no more』『to put away from one, reject』
《1600》	『to draw up, contract』『to dull』
《1602》	『to whistle aloud』『to sound like whistling』
《1603》	『to tear away』『to lay bare』
《1604》	『to cut the throat of』『to slay』『to cut one's own throat』
《1607》	『to split』『cleave off』『to sever』『detach from』『to be separated from』『to be parted from』『detached from』『to cut』『off』『interrupt』『in』
《1609》	『to stretch out, extend』『to lengthen, extend, prolong』
《1611》	『to cut off, sever』『having』『cut out』『to sever, divide』『to be cut off from』『to cut off for oneself』『to cut off a bit』『to cut off』『to appropriate』『to have a slice』『portion of』『to cut off』
《1619》	『a cutting off』
《1620》	『cut off, abrupt, precipitous』『to the edge of a cliff』『severe, relentless』
《1624》	『to wear out』『to rub clean, to rub down』『to rub off』『to get rid of』『to decline, reject』
《1627》	『to fail in hitting』『gaining, to miss, lose』『not come to pass』『to miss one's object, to be unlucky, fail』『to miss the truth, err』『to fail to』
《1628》	『to cudgel to death, bastinado』
《1631》	『to shew fort, display, produce』『to make known, declare』『to give evidence of』『to shew by reasoning, shew, represent as』『to represent that』『to give an account of』『to pay in money』『to render』『make』『to appoint』『to display something of one's own』『to make a display of oneself, shew off』『to produce』『to declare one's』『to give an opinion』
《1635》	『a terse pointed saying, an apophthegm』
《1637》	『to blow away』『to breathe out』
《1638》	『to pour out』『off, shed, let fall』
《1640》	『a going off, retreat』『a place』『means of safety』
《1643》	『doing nothing, ineffectual, unprofitable』『without success, unsuccessful』『unsuccessfully』『against which nothing can be done, impracticable』『not to be done, impossible』『not done, left undone』『unassailed』
《1644》	『unseemly, unbecoming, indecent, indecorous』『disreputable』
《1647》	『without want of more』
《1648》	『unexpected, unlooked for』『not expecting, unaware』
《1656》	『without fire』『that have not yet been on the fire, fire-new, brand-new』『without fire』『cold, cheerless』『unsmelted』『in which no fire was used』『without fire』『that will not burn』『unoffered, neglected』『not forged in fire』
《1663》	『further off』
《1686》	『to pray to』『to invoke』『to pray that』『to pray』『to pray』『to imprecate upon』『to curse』『to vow that』『will』『would』
《1690》	『compactly, closely, strongly』
《1693》	『a spider's web』
《1702》	『idleness, laziness』『rest, leisure』
《1706》	『of, for』『in silver』
《1716》	『lifted up, on high』『taken away utterly, wholly』
《1728》	『to help, aid, succour』『juvat, it is good』『fit』『to ward off, prevent』『to ward off from』
《1736》	『a joint』『the socket of the ankle-joint』
《1743》	『easily numbered, few in number』『held in no account, nullo numero habitus』
《1748》	『excellence, prowess』
《1750》	『to be best』『bravest』『to gain the prize for valour, gain the highest distinction』『he was the best』『was best』『to be best in』
《1754》	『best』『best, noblest, bravest』『readiest』『best』『easiest』『best, most virtuous』『best, finest』『best, most excellently』
《1772》	『a charioteer』
《1776》	『a fastening』『a clamp』『a joining, joint』『the joints』『a frame』『temperament』『a covenant, agreement』『settled government, order』『harmony』『a concord of sounds』『Harmonia, Music』『harmony, concord』
《1789》	『a plougher, husbandman』『for ploughing』『a father』
《1809》	『unbroken, not to be broken』『unwearied』
《1811》	『to be weak and sickly』
《1812》	『an illness, a sickness』『a』『infirmity』
《1813》	『weakness, sickness』『inability』
《1820》	『a raising』『arsis』『thesis』
《1823》	『artaba』
《1837》	『a first leader, the founder』『a leader, prince, chief』『a first cause, author』
《1839》	『from the beginning, from of old, from olden time』『at all』
《1846》	『the high-priesthood』
《1855》	『to be the architect』『to construct, contrive』
《1908》	『an impious』『profane act』
《1943》	『to breathe hard, gasp for breath』
《1948》	『not of iron』『not made by iron』『without sword, unarmed』
《1957》	『unhurt, unharmed』『secure, happy』『undamaged』『not harming』『harmless』『protecting from harm』
《1959》	『to abstain from food, fast』
《1965》	『exercise, practice, training』『exercises』『practice of』『in』『a mode of life, profession, art』
《1966》	『one who practises any art』『trade』『an athlete, one trained for the arena』
《1970》	『a song, a lyric ode』『lay』
《1971》	『to be well-pleased』
《1972》	『well-pleased, glad』『gladly』『glad to』『glad』『glad』『gladly, readily』
《1988》	『aspalathus』
《2005》	『unsteady, unstable』
《2026》	『near』『bordering on a city』『a neighbour to the city, a borderer』
《2030》	『inviolability』
《2031》	『safe from violence, inviolate』『safe from』『a refuge』
《2032》	『inconvenient, inexpedient, useless』『inexpedient for, prejudicial to』
《2056》	『to engage, occupy』
《2057》	『an occupation, business, want of leisure』『no leisure for pursuing it』『trouble』
《2066》	『having no hope of safety, abandoned, profligate』『bringing ruin on』『fatal』
《2069》	『want of discipline, disorderliness』『disorder, irregularity』
《2071》	『but, yet』『still』
《2076》	『unburied』
《2077》	『just as, so as』『inasmuch as, seeing that』『quippe viae custodirentur』
