360.4.10	<P「」|C「」「」[「」]|A「」「」|{「」}|C「」「」[「」]|A「」「」><S「」「」|P「」|C「」(P「」|S「」)>
360.4.11	<P「」{「」}「」|C[「」]「」「」[「」]><P+「」「」|A「」><S「」「」|P「」|C「」>
360.4.12	<P「」{「」}「」|S[「」]「」「」|A「」「」「」[「」]><A+「」「」|P「」|S「」「」=[「」]「」「」[「」]>
360.4.13	<P「」|C「」><P+「」「」|S「」><P「」><P「」><P+「」「」|S「」「」><P「」|S「」「」><P+「」「」|S「」「」[「」]>
360.4.14	<S「」|P「」|A「」「」「」[「」「」]><P+「」「」|S「」[「」]|A「」「」「」[「」「」]>
360.4.15	<S「」「」{「」}「」「」|P「」><S+「」「」「」|P「」|C「」[「」]>
360.4.16	<S「」+「」「」|A「」「」|P「」><A+「」「」「」|P「」|C「」[「」]><P+「」「」|S「」「」{「」}「」「」><S「」+「」「」|P「」|C「」「」[「」]><P+「」「」|S「」|C「」「」[「」]>
360.4.17	<P+「」「」|C「」(S「」|P「」=「」「」[「」])><S「」「」|P「」「」|A「」「」[「」][「」]><P+「」「」|S「」|C「」[「」]><S+「」「」|P「」「」|A「」「」|A「」>
360.4.18	<P+「」「」|A「」「」「」|C「」(P「」|S「」「」|C「」)><S+「」「」「」|P「」|C「」><S+「」[「」]「」「」[「」]|P「」|C「」><S+「」「」|A「」「」[「」]|P「」><P+「」「」|C「」「」[「」「」]>
360.4.19	<S「」|A「」「」|P「」><S+「」「」「」|A「」[「」]「」|P「」|A「」「」[「」[「」]]><J+「」+「」><P「」「」|A「」|A「」「」「」[「」]>
360.4.20	<S「」+「」「」|A「」「」「」|P「」|{「」}|S「」|A「」「」[「」]>
360.4.21	<P+「」「」|C「」「」[「」]><P+「」「」「」「」><S+「」「」|P「」|A「」「」>
