lxx.RP.GPF	<null>	pronoun, personal/possessive, Gen Plur Fem
lxx.RP.GPM	<null>	pronoun, personal/possessive, Gen Plur Masc
lxx.RP.GS	<null>	pronoun, personal/possessive, Gen Sing
lxx.RP.GSF	<null>	pronoun, personal/possessive, Gen Sing Fem
lxx.RP.GSM	<null>	pronoun, personal/possessive, Gen Sing Masc
lxx.RP.NP	<null>	pronoun, personal/possessive, Nom Plur
lxx.RP.NPM	<null>	pronoun, personal/possessive, Nom Plur Masc
lxx.RP.NPN	<null>	pronoun, personal/possessive, Nom Plur Neut
lxx.RP.NS	<null>	pronoun, personal/possessive, Nom Sing
lxx.RP.NSF	<null>	pronoun, personal/possessive, Nom Sing Fem
lxx.RP.NSM	<null>	pronoun, personal/possessive, Nom Sing Masc
lxx.RP.VS	<null>	pronoun, personal/possessive, Voc Sing
lxx.RP+X.NS	<null>	pronoun, personal/possessive + particle, Nom Sing
lxx.RR.APF	<null>	pronoun, relative, Acc Plur Fem
lxx.RR.APM	<null>	pronoun, relative, Acc Plur Masc
lxx.RR.APN	<null>	pronoun, relative, Acc Plur Neut
lxx.RR.ASF	<null>	pronoun, relative, Acc Sing Fem
lxx.RR.ASM	<null>	pronoun, relative, Acc Sing Masc
lxx.RR.ASN	<null>	pronoun, relative, Acc Sing Neut
lxx.RR.DPF	<null>	pronoun, relative, Dat Plur Fem
lxx.RR.DPM	<null>	pronoun, relative, Dat Plur Masc
lxx.RR.DPN	<null>	pronoun, relative, Dat Plur Neut
lxx.RR.DSF	<null>	pronoun, relative, Dat Sing Fem
lxx.RR.DSM	<null>	pronoun, relative, Dat Sing Masc
lxx.RR.DSN	<null>	pronoun, relative, Dat Sing Neut
lxx.RR.GPF	<null>	pronoun, relative, Gen Plur Fem
lxx.RR.GPM	<null>	pronoun, relative, Gen Plur Masc
lxx.RR.GPN	<null>	pronoun, relative, Gen Plur Neut
lxx.RR.GSF	<null>	pronoun, relative, Gen Sing Fem
lxx.RR.GSM	<null>	pronoun, relative, Gen Sing Masc
lxx.RR.GSN	<null>	pronoun, relative, Gen Sing Neut
lxx.RR.NPF	<null>	pronoun, relative, Nom Plur Fem
lxx.RR.NPM	<null>	pronoun, relative, Nom Plur Masc
lxx.RR.NPN	<null>	pronoun, relative, Nom Plur Neut
lxx.RR.NSF	<null>	pronoun, relative, Nom Sing Fem
lxx.RR.NSM	<null>	pronoun, relative, Nom Sing Masc
lxx.RR.NSN	<null>	pronoun, relative, Nom Sing Neut
lxx.RX.GSM	<null>	pronoun, relative, ὅστις, Gen Sing Masc
lxx.RX.GSN	<null>	pronoun, relative, ὅστις, Gen Sing Neut
lxx.RX.NPF	<null>	pronoun, relative, ὅστις, Nom Plur Fem
lxx.RX.NPM	<null>	pronoun, relative, ὅστις, Nom Plur Masc
lxx.RX.NSF	<null>	pronoun, relative, ὅστις, Nom Sing Fem
lxx.RX.NSM	<null>	pronoun, relative, ὅστις, Nom Sing Masc
lxx.RX.NSN	<null>	pronoun, relative, ὅστις, Nom Sing Neut
lxx.V.AAD1S	<null>	verb, Aor Act Imperative 1st Sing
lxx.V.AAD2P	<null>	verb, Aor Act Imperative 2nd Plur
