A	adjective
V.AAI2S	verb, Aor Act Ind 2nd Sing
V.AAI3P	verb, Aor Act Ind 3rd Plur
V.AAI3S	verb, Aor Act Ind 3rd Sing
V.AAN	verb, Aor Act Infin
V.AAO1P	verb, Aor Act Opt 1st Plur
V.AAO1S	verb, Aor Act Opt 1st Sing
V.AAO2P	verb, Aor Act Opt 2nd Plur
V.AAO2S	verb, Aor Act Opt 2nd Sing
V.AAO3P	verb, Aor Act Opt 3rd Plur
V.AAO3S	verb, Aor Act Opt 3rd Sing
V.AAP3S	verb, Aor Act Part 3rd Sing
V.AAPAPF	verb, Aor Act Part Acc Plur Fem
V.AAPAPM	verb, Aor Act Part Acc Plur Masc
V.AAPAPN	verb, Aor Act Part Acc Plur Neut
V.AAPASF	verb, Aor Act Part Acc Sing Fem
V.AAPASM	verb, Aor Act Part Acc Sing Masc
V.AAPASN	verb, Aor Act Part Acc Sing Neut
V.AAPDPF	verb, Aor Act Part Dat Plur Fem
V.AAPDPM	verb, Aor Act Part Dat Plur Masc
V.AAPDPN	verb, Aor Act Part Dat Plur Neut
V.AAPDSF	verb, Aor Act Part Dat Sing Fem
V.AAPDSM	verb, Aor Act Part Dat Sing Masc
V.AAPGPF	verb, Aor Act Part Gen Plur Fem
V.AAPGPM	verb, Aor Act Part Gen Plur Masc
V.AAPGPN	verb, Aor Act Part Gen Plur Neut
V.AAPGSF	verb, Aor Act Part Gen Sing Fem
V.AAPGSM	verb, Aor Act Part Gen Sing Masc
V.AAPGSN	verb, Aor Act Part Gen Sing Neut
V.AAPNPF	verb, Aor Act Part Nom Plur Fem
V.AAPNPM	verb, Aor Act Part Nom Plur Masc
V.AAPNPN	verb, Aor Act Part Nom Plur Neut
V.AAPNSF	verb, Aor Act Part Nom Sing Fem
V.AAPNSM	verb, Aor Act Part Nom Sing Masc
V.AAPNSN	verb, Aor Act Part Nom Sing Neut
V.AAPVSF	verb, Aor Act Part Voc Sing Fem
V.AAS	verb, Aor Act Subj
V.AAS1P	verb, Aor Act Subj 1st Plur
V.AAS1S	verb, Aor Act Subj 1st Sing
V.AAS2P	verb, Aor Act Subj 2nd Plur
V.AAS2S	verb, Aor Act Subj 2nd Sing
V.AAS3P	verb, Aor Act Subj 3rd Plur
V.AAS3S	verb, Aor Act Subj 3rd Sing
V.AI3P	verb, Fut Act Ind 3rd Plur
V.AMD2P	verb, Aor Mid Imperative 2nd Plur
V.AMD2S	verb, Aor Mid Imperative 2nd Sing
V.AMD3P	verb, Aor Mid Imperative 3rd Plur
V.AMD3S	verb, Aor Mid Imperative 3rd Sing
V.AMI1P	verb, Aor Mid Ind 1st Plur
V.AMI1S	verb, Aor Mid Ind 1st Sing
V.AMI2P	verb, Aor Mid Ind 2nd Plur
V.AMI2S	verb, Aor Mid Ind 2nd Sing
V.AMI3P	verb, Aor Mid Ind 3rd Plur
V.AMI3S	verb, Aor Mid Ind 3rd Sing
V.AMN	verb, Aor Mid Infin
V.AMO1P	verb, Aor Mid Opt 1st Plur
V.AMO1S	verb, Aor Mid Opt 1st Sing
V.AMO2S	verb, Aor Mid Opt 2nd Sing
V.AMO3P	verb, Aor Mid Opt 3rd Plur
V.AMO3S	verb, Aor Mid Opt 3rd Sing
V.AMP	verb, Aor Mid Part
V.AMPAPF	verb, Aor Mid Part Acc Plur Fem
V.AMPAPM	verb, Aor Mid Part Acc Plur Masc
V.AMPAPN	verb, Aor Mid Part Acc Plur Neut
V.AMPASF	verb, Aor Mid Part Acc Sing Fem
V.AMPASM	verb, Aor Mid Part Acc Sing Masc
V.AMPASN	verb, Aor Mid Part Acc Sing Neut
V.AMPDPM	verb, Aor Mid Part Dat Plur Masc
V.AMPDSM	verb, Aor Mid Part Dat Sing Masc
V.AMPGPF	verb, Aor Mid Part Gen Plur Fem
V.AMPGPM	verb, Aor Mid Part Gen Plur Masc
V.AMPGPN	verb, Aor Mid Part Gen Plur Neut
V.AMPGSF	verb, Aor Mid Part Gen Sing Fem
V.AMPGSM	verb, Aor Mid Part Gen Sing Masc
V.AMPGSN	verb, Aor Mid Part Gen Sing Neut
V.AMPNPF	verb, Aor Mid Part Nom Plur Fem
V.AMPNPM	verb, Aor Mid Part Nom Plur Masc
V.AMPNPN	verb, Aor Mid Part Nom Plur Neut
V.AMPNSF	verb, Aor Mid Part Nom Sing Fem
V.AMPNSM	verb, Aor Mid Part Nom Sing Masc
V.AMPNSN	verb, Aor Mid Part Nom Sing Neut
V.AMS1P	verb, Aor Mid Subj 1st Plur
V.AMS1S	verb, Aor Mid Subj 1st Sing
V.AMS2P	verb, Aor Mid Subj 2nd Plur
V.AMS2S	verb, Aor Mid Subj 2nd Sing
V.AMS3P	verb, Aor Mid Subj 3rd Plur
V.AMS3S	verb, Aor Mid Subj 3rd Sing
V.APD2P	verb, Aor Pass Imperative 2nd Plur
V.APD2S	verb, Aor Pass Imperative 2nd Sing
V.APD3P	verb, Aor Pass Imperative 3rd Plur
V.APD3S	verb, Aor Pass Imperative 3rd Sing
V.API1P	verb, Aor Pass Ind 1st Plur
V.API1S	verb, Aor Pass Ind 1st Sing
V.API2P	verb, Aor Pass Ind 2nd Plur
