05O	29	19
05O	29	20
05O	29	21
05O	29	22
05O	29	23
05O	29	24
05O	29	25
05O	29	26
05O	29	27
05O	29	28
05O	29	29
06O	6	4
06O	6	6
06O	6	6
06O	6	7
06O	6	13
06O	6	13
06O	6	14
06O	8	13
06O	8	26
06O	8	30
06O	8	31
06O	8	32
06O	8	33
06O	8	34
06O	8	35
06O	10	15
06O	10	43
06O	11	2
06O	11	2
06O	11	3
06O	12	21
06O	12	21
06O	12	22
06O	12	22
06O	13	33
06O	15	24
06O	15	25
06O	15	25
06O	15	59
06O	15	59
06O	16	1
06O	16	2
06O	16	2
06O	16	3
06O	16	3
06O	16	5
06O	19	47
06O	19	47
06O	19	48
06O	19	48
06O	20	3
06O	20	4
06O	20	5
06O	20	6
06O	21	42
06O	21	42
06O	21	42
06O	21	42
06O	21	42
06O	24	29
06O	24	30
06O	24	31
06O	24	31
06O	24	33
06O	24	33
06O	24	33
07O	5	10
07O	5	10
07O	5	11
07O	11	4
09O	1	24
09O	1	24
09O	1	25
09O	3	13
09O	3	14
09O	3	14
09O	4	15
09O	4	16
09O	4	16
09O	5	3
09O	5	3
09O	5	4
09O	10	27
09O	10	27
09O	11	1
09O	13	1
09O	17	12
09O	17	13
09O	17	14
09O	17	15
09O	17	16
09O	17	17
09O	17	18
09O	17	19
09O	17	20
09O	17	21
09O	17	22
09O	17	23
09O	17	24
09O	17	25
09O	17	26
09O	17	27
09O	17	28
09O	17	29
09O	17	30
09O	17	31
09O	17	41
09O	17	45
09O	17	45
09O	17	46
09O	17	50
09O	17	55
09O	17	56
09O	17	57
09O	17	58
09O	18	1
09O	18	2
09O	18	3
09O	18	4
09O	18	5
09O	18	10
09O	18	11
09O	18	17
09O	18	18
09O	18	19
09O	18	30
09O	19	10
09O	19	10
09O	19	11
09O	20	42
09O	20	42
09O	21	1
09O	21	2
09O	21	3
09O	21	4
09O	21	5
09O	21	6
09O	21	7
09O	21	8
09O	21	9
09O	21	10
09O	21	11
09O	21	12
09O	21	13
09O	21	14
09O	21	15
09O	23	12
09O	23	29
09O	24	1
09O	24	2
09O	24	3
09O	24	4
09O	24	5
09O	24	6
09O	24	7
09O	24	8
09O	24	9
09O	24	10
09O	24	11
09O	24	12
09O	24	13
09O	24	14
09O	24	15
09O	24	16
09O	24	17
09O	24	18
09O	24	19
09O	24	20
09O	24	21
09O	24	22
09O	30	28
09O	30	28
10O	3	24
10O	3	24
10O	3	25
10O	5	14
10O	5	14
10O	5	15
10O	5	15
10O	5	16
10O	5	16
10O	7	11
10O	7	11
10O	7	12
10O	15	19
10O	15	19
10O	15	20
10O	18	33
10O	19	1
10O	19	2
10O	19	3
10O	19	4
10O	19	5
10O	19	6
10O	19	7
10O	19	8
10O	19	9
10O	19	10
10O	19	11
10O	19	11
10O	19	12
10O	19	13
10O	19	14
10O	19	15
10O	19	16
10O	19	17
10O	19	18
10O	19	19
10O	19	20
10O	19	21
10O	19	22
10O	19	23
10O	19	24
10O	19	25
10O	19	26
10O	19	27
10O	19	28
10O	19	29
10O	19	30
10O	19	31
10O	19	32
10O	19	33
10O	19	34
10O	19	35
10O	19	36
10O	19	37
10O	19	38
10O	19	39
10O	19	40
10O	19	41
10O	19	42
