G700308		Αδωρα	adōra	aðora	Adōra; Athora
G700309		Αδωραιμ	adōraim	aðorem	Adōraim; Athorem
G700310		αδωρηεμ	adōrēem	aðoriyem	their nobles
G700311		ἀεί	aei	aiy	continually
G700312		Αεμε	aeme	aeme	Aeme
G700313		ἀέναος	aenaos	aenaos	ever-flowing
G700314		Αενδωρ	aendōr	aenðor	Aendōr; Aenthor
G700315		Αερ	aer	aer	Aer
G700316		ἀεργός	aergos	aergos	not-working; idle
G700317		Αερμων	aermōn	aermon	Aermōn; Aermon
G700318		ἀετός	aetos	aetos	eagle
G700319		Αζαβουχ	azabouch	azavukh	Azabouch; Azavukh
G700320		Αζαηλ	azaēl	azel	Azaēl; Azel
G700321		Ἀζάηλος	azaēlos	azelos	Azaēlos; Azelos
G700322		Αζαια	azaia	azea	Azaia; Azea
G700323		Αζακι	azaki	azakiy	Azaki
G700324		Αζανια	azania	azaniya	Azania
G700325		Αζανωθ	azanōth	azanoθ	Azanōth; Azanoth
G700326		Αζαραηλ	azaraēl	azarel	Azaraēl; Azarel
G700327		Αζαρια	azaria	azariya	Azaria
G700328		Ἀζαρίας	azarias	azariyas	Azarias
G700329		Αζαριον	azarion	azariyon	Azarion
G700330		Αζαριου	azariou	azariyu	Azariou; Azariu
G700331		Αζαυ	azau	azav	Azau; Azav
G700332		Αζενι	azeni	azeniy	Azeni
G700333		Αζερ	azer	azer	Azer
G700334		Αζηκα	azēka	aziyka	Azēka; Azika
G700335		Αζηρ	azēr	aziyr	Azēr; Azir
G700336		Αζητάς	azētas	aziytas	Azētas; Azitas
G700337		Αζιηλ	aziēl	aziyiyl	Aziēl; Azil
G700338		Αζιν	azin	aziyn	Azin
G700339		Αζιφ	aziph	aziyf	Aziph; Azif
G700340		Αζμωθ	azmōth	azmoθ	Azmōth; Azmoth
G700341		Αζοβ	azob	azov	Azob; Azov
G700342		Αζουβα	azouba	azuva	Azouba; Azuva
G700343		Αζουρ	azour	azur	Azour; Azur
G700344		Αζουρού	azourou	azuru	Azourou; Azuru
G700345		ἄζυμος	azymos	aziymos	unleavened; Feast of Unleavened Bread
G700346		Αζωβαι	azōbai	azove	Azōbai; Azove
G700347		Ἀζώρ	azōr	azor	Azōr; Azor
G700348		Ἀζωτία	azōtia	azotiya	Azōtia; Azotia
G700349		Ἀζώτιος	azōtios	azotiyos	Azōtios; Azotios
G700350		Ἀζωτιστί	azōtisti	azotiystiy	Azōtisti; Azotisti
G700351		Ἄζωτος	azōtos	azotos	Azōtos; Azotos
G700352		ἀηδία	aēdia	eðiya	unpleasantness; nauseousness
G700353		Αηδις	aēdis	eðiys	Aēdis; Ethis
G700354		ἀήρ	aēr	er	air
G700355		Αθαθ	athath	aθaθ	Athath
G700356		Αθαια	athaia	aθea	Athaia; Athea
G700357		ἀθανασία	athanasia	aθanasiya	immortality
G700358		ἀθάνατος	athanatos	aθanatos	undying; immortal
G700359		Αθανι	athani	aθaniy	Athani
G700360		Αθανιν	athanin	aθaniyn	Athanin
G700361		Αθαριν	atharin	aθariyn	Atharin
G700362		Αθελια	athelia	aθeliya	Athelia
G700363		ἀθέμιτος	athemitos	aθemiytos	unfounded; unlawful
G700364		Αθερ	ather	aθer	Ather
G700365		Αθερσαθα	athersatha	aθersaθa	Athersatha
G700366		ἀθεσία	athesia	aθesiya	faithlessness
G700367		ἄθεσμος	athesmos	aθezmos	unprincipled
G700368		ἀθέσμως	athesmōs	aθezmos	unlawfully
G700369		ἀθετέω	atheteō	aθeteo	displace; put off
G700370		ἀθέτημα	athetēma	aθetiyma	breach of faith; transgression
G700371		ἀθέτησις	athetēsis	aθetiysiys	displacement; rejection
G700372		ἀθεώρητος	atheōrētos	aθeoriytos	without observation
G700373		Ἀθηναῖος	athēnaios	aθiyneos	Athēnaios; Athineos
G700374		Ἀθηνόβιος	athēnobios	aθiynoviyos	Athēnobios; Athinovios
G700375		Αθιν	athin	aθiyn	Athin
G700376		ἀθλητής	athlētēs	aθliytiys	prizefighter
G700377		ἄθλιος	athlios	aθliyos	gaining the prize
G700378		ἀθλοθετέω	athlotheteō	aθloθeteo	offer a prize; offer rewards
G700379		ἆθλον	athlon	aθlon	prize of contest
G700380		ἀθλοφόρος	athlophoros	aθloforos	bearing away the prize; victorious
G700381		αθουκιιν	athoukiin	aθukiyiyn	ancient
G700382		Αθουρ	athour	aθur	Athour; Athur
G700383		Αθουριας	athourias	aθuriyas	Athourias; Athurias
